sub,Importance,tag
[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,12.564920254583342,1
[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,12.675759821367535,1
[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,12.901557219490371,1
[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,13.144403018386129,1
[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,13.337855282233306,1
[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1/main-chain,15.326752961547697,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/main-chain,15.353093046403785,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/main-chain,15.547794715072484,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/main-chain,15.842233362066509,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/main-chain,16.549524454290463,1
[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1/main-chain,17.406322565103324,1
[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1/main-chain,17.57947704296845,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,17.70332001265308,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,17.960232188491602,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,18.45888211177453,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/side-chain,18.996111429730206,1
[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1/main-chain,19.11897032814545,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,19.949502373880023,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,20.205845443763053,1
[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1/main-chain,20.527064818987583,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,20.743152492774527,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,21.02161310645647,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,21.16702145416548,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,21.373430348763804,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,22.88176793084972,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,23.68370068313834,1
[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,23.82389507498391,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,24.496130745810035,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,24.838623283051504,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,25.09226096100201,1
[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1/side-chain,25.419014764634596,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,25.708534053239305,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,25.778145973253146,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,25.854064926240312,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,25.97262351193791,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,25.976872887032698,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.00470624333957,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,26.081287672700455,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.26548477372961,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,26.37234133734404,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.485003456976756,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.578225874013583,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.719130912249284,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,26.776266201550584,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,26.948390893743806,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,27.017618810739293,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,27.167473804861743,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,27.319552601661997,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,27.55200309989641,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,28.16098592930473,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,28.293264654756456,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,28.377855077114305,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,28.69925917502286,1
[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,29.788795969652426,1
[c]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,29.991235067109756,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.134290253370523,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.300165349649888,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.496176971633986,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.61277672504474,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.743356246938276,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.782662741130537,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,30.803077046282056,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,30.936282253889715,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.15312620061576,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,31.176038091130465,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.340611693525375,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,31.493443733574225,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.496324290761436,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.54694097564402,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,31.586450550840823,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.700163845978125,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.70682947606531,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,31.757191638500842,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,32.2556223900408,1
[c]1:[cH]:[c]:[c]:[cH]:[cH]:1/main-chain,32.29648779165211,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,32.49526039187538,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,32.62005580414717,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,32.7462985622854,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,32.95018124712334,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,33.21165210417564,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,33.26212267035805,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,33.303470300087554,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,33.538952032081966,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,34.00184148083423,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/side-chain,35.84657801726445,1
[Br]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/main-chain,36.183304476693706,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,38.73922147499201,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,38.75311301864161,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,38.817252024717334,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,39.24435903568417,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,39.37495056074022,1
[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1/main-chain,39.480549328216114,1
[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1/side-chain,40.10480665133878,1
